regioncd,regionnm,ctyua19cd,ctyua19nm,Area Type,LE_Male,LE_Female,LEInequality_Male,LEInequality_Female,Mortality_all,Mortality_Cardio,Mortality_Cancer,Diabetes,Dementia,Smoking,Physical_Activity,Obesity,Employment,Homelessness,LowIncome_Child,ExcessWinterDeaths,Travel_Walk,Travel_Cycle,AHAH,AirPollution,FuelPoverty,EmploymentHealth_Gap,JobDensity,JSO,EconomicInactivity,IMD,WFP,Ethnic_Minority,OlderPersons,CareAdmissions,FluVaccine,NEET,SocialIsolation
E92000001,England,E06000001,Hartlepool,County & UA (4/19-3/20),76.8153,81.3312,12.5,10.4,425.3471,96.3,165.5,76.8442,74.6,19.2639,57.3666,75.7362,64.3,1.8537,28.6,27.1875,13.793,0.2936,2.6704,6.737,10.1,16.1682,0.58,9.4072,28.6,35.037,94.6044,1.2,19.4292,723.9,72.4946,3.0836,53.9
E92000001,England,E06000002,Middlesbrough,County & UA (4/19-3/20),75.2749,80.0223,12.6,12,508.9466,118.6,184.8,79.0034,78.3,17.1725,61.5721,69.3392,64.6,0.1024,31.8,25.1326,12.896,2.0081,2.4566,7.3266,11.9,14.783,0.77,12.6664,29.7,40.46,98.2562,9.2,16.3839,1172.8,72.5471,5.0065,48.7
E92000001,England,E06000003,Redcar and Cleveland,County & UA (4/19-3/20),77.9879,81.777,11,7.3,397.9935,88.4,153.3,81.7255,71.8,15.4661,67.9778,71.8908,68.9,,25.2,35.9001,15.1736,0.7373,3.5021,6.9234,10.3,20.8296,0.54,9.6675,26.9,29.792,97.355,1.1,22.6278,920,74.9744,5.386,52.8
E92000001,England,E06000004,Stockton-on-Tees,County & UA (4/19-3/20),78.1382,81.4122,15.2,13.8,396.3555,74.4,157.3,81.6817,87.2,13.2209,61.3777,65.0229,68.6,,21.3,39.3939,18.3399,1.7465,3.8242,6.9315,9,14.3496,0.76,8.0742,25.4,25.79,96.294,5.2,18.4562,574.7,73.545,4.3813,47.8
E92000001,England,E06000005,Darlington,County & UA (4/19-3/20),78.7182,82.3872,13.7,9.5,370.0342,78.2,134,85.9337,77,13.7072,66.1161,64.1059,75.3,,20,27.9887,24.2333,1.1113,2.3367,6.453,9,11.7446,0.83,9.5963,21,25.657,96.7204,3.5,20.5397,616.1,73.6714,6.7231,49.1
E92000001,England,E06000006,Halton,County & UA (4/19-3/20),77.0813,81.1167,10.8,8.8,428.0872,88.4,170.9,95.2813,72.3,14.9046,68.6488,70.5701,75,5.4989,19.6,31.9783,14.2537,1.8672,21.0917,7.8994,10.9,18.6119,0.86,2.03,22,32.325,95.4162,1.6,18.4004,731,71.6417,5.1197,48.9
E92000001,England,E06000007,Warrington,County & UA (4/19-3/20),79.2115,82.6872,9.6,7.4,336.0462,77.4,130.7,83.3016,76.2,11.2507,63.2961,66.3489,76,0.3199,11.5,26.1767,18.064,3.2389,9.8849,7.5982,9.1,9.4917,1.14,1.3143,21.6,18.942,97.6005,5.8,18.8773,619.8,70.7284,3.1019,41.2
E92000001,England,E06000008,Blackburn with Darwen,County & UA (4/19-3/20),76.9414,80.3466,10.9,8.4,446.7867,102.9,153.7,82.3191,71.7,15.4993,61.599,64.289,67.3,,20.7,22.7673,18.8342,1.749,0,7.0815,14.6,10.8516,0.81,4.8125,29.1,36.013,97.2938,28.6,14.5455,413.1,72.7899,4.4864,45.6
E92000001,England,E06000009,Blackpool,County & UA (4/19-3/20),74.4627,79.5178,12.3,10.1,544.1495,122.7,172.7,79.4296,79.3,23.4028,63.2599,65.2289,71,8.1308,26.2,32.1212,17.8936,2.1914,6.1779,6.3997,15.2,15.8511,0.79,7.4544,23.5,45.039,98.6902,1.5,20.4344,809.8,70.0216,6.2007,50.1
E92000001,England,E06000010,Kingston upon Hull,County & UA (4/19-3/20),75.9908,80.1574,12.7,10.2,474.3725,107.6,163.9,85.206,78.4,22.2221,62.6971,71.3601,71.1,1.3263,27.4,28.8626,27.2468,5.9861,46.347,8.5531,10.6,13.9843,0.82,9.9291,23.1,40.564,97.469,5.4,15.1372,941.1,69.6708,6.2736,53.6
E92000001,England,E06000011,East Riding of Yorkshire,County & UA (4/19-3/20),80.1058,83.7778,6.3,3.8,297.3097,64.9,122.4,82.7804,63.2,12.1101,68.6599,63.8762,77,0.2974,12.2,36.8915,20.5347,2.9013,36.2352,7.3843,9.4,10.5959,0.76,3.3102,20.1,15.605,96.4623,2.1,26.1879,448.1,72.2979,4.1232,43.4
E92000001,England,E06000012,North East Lincolnshire,County & UA (4/19-3/20),77.5657,82.1656,13.1,9.1,399.3975,88.2,162.6,83.9607,67.7,22.202,59.0207,70.3399,71.2,2.897,26,25.2302,14.7605,2.5817,41.8211,7.9028,10.1,13.282,0.79,7.3865,23.3,31.335,96.3497,2.5,20.6006,625.4,70.1976,6.4067,49.5
E92000001,England,E06000013,North Lincolnshire,County & UA (4/19-3/20),78.9706,82.4494,9.7,9.1,357.2017,72.3,144.1,87.3742,61.5,17.8364,63.1643,68.5102,69.6,,18.7,31.1355,17.1015,0.6143,49.5598,7.5914,9.8,15.9175,0.79,4.7053,25.6,22.096,96.3411,3.8,21.2755,590.9,72.0111,4.8812,52.1
