objectid,ctyua19cd,ctyua19nm,st_areasha,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,23/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020,03/10/2020,04/10/2020,05/10/2020,06/10/2020,07/10/2020,08/10/2020,09/10/2020,10/10/2020,11/10/2020,12/10/2020,13/10/2020,14/10/2020,15/10/2020,16/10/2020,17/10/2020,18/10/2020,19/10/2020,20/10/2020,21/10/2020,22/10/2020,23/10/2020,24/10/2020,25/10/2020,26/10/2020,27/10/2020,28/10/2020,29/10/2020,30/10/2020,31/10/2020,01/11/2020,02/11/2020,03/11/2020,04/11/2020,05/11/2020,06/11/2020,07/11/2020,08/11/2020,09/11/2020,10/11/2020,11/11/2020,12/11/2020,13/11/2020,14/11/2020,15/11/2020,16/11/2020,17/11/2020,18/11/2020,19/11/2020,20/11/2020,21/11/2020,22/11/2020,Upper Tier Local Authority District code (2019),IMD - Average rank,IMD - Rank of average rank,IMD - Average score,IMD - Rank of average score,IMD - Proportion of LSOAs in most deprived 10% nationally,IMD - Rank of proportion of LSOAs in most deprived 10% nationally,IMD 2019 - Extent,IMD 2019 - Rank of extent,IMD 2019 - Local concentration,IMD 2019 - Rank of local concentration,Residents,Households,Dwellings,Household_Spaces,Aged_16plus,Aged_16_to_74,Employed_16_to_74,Household_Residents_16plus,Residents_3plus,Males,Females,Household_Resident,Communal_Resident,Age_0_to_19,Age_20_to_29,Age_30_to_44,Age_45_to_64,Age_65_to_84,Age_85plus,Mean_age,Median_age,White_British_and_Irish,White_other,Mixed,Indian,Pakistani,Bangladeshi,Chinese,Other_Asian,Black,Other_ethnicity,Christian,Other_religion,No_religion,Religion_not_stated,CoB_United_Kingdom,CoB_Ireland,CoB_EU_Member_pre_2001,CoB_EU_member_pre_2011,CoB_Other,Little_or_no_English,Single,Married_couple,Cohabiting_couple,Same_sex_couple,Legal_couple_living_apart,Separated,Divorced,Widowed,Lone_person,Couple_no_kids,Couple_dependent_kids,Lone_parent_dependent_children,All_fulltime_students,Other_household_type,Households_with_0_residents,Detached,Semidetached,Terraced,Flats,Caravan_or_other,Owned,Social_rented,Private_rented,Living_rent_free,Crowded_housing,Long_term_ill,Standardised_illness_ratio,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,Provides_unpaid_care,No_qualifications,GCSE,A_level,Degree_plus,Cars_0,Cars_1,Cars_2plus,Work_from_home,Public_Transport,Private_Transport,Other_Transport,Employee_Parttime,Employee_Fulltime,Self_employed,Unemployed,Fulltime_student,Retired,Student_Econ_Inactive,Looking_after_home_or_family,Longterm_sick_or_disabled,Economically_inactive_Other,Never_worked,Longterm_unemployed,Higher_manager_prof,Lower_manager_prof,Intermediate_occupations,Small_employer_self_employed,Lower_supervisory_technical,Semi_routine_occupations,Routine_occupations,Long_unemp_never_worked,Agriculture_forestry_and_fishing,Mining_and_quarrying,Manufacturing,Electricity_gas_air_conditioning,Water_and_waste,Construction,Motor_vehicles,Transport_and_storage,Accommodation_and_food_service,Information_and_communication,Financial_and_insurance,Real_estate,Scientific_and_technical,Administrative_and_support,Public_administration_and_defence,Education,Human_health_and_social_work
1,E06000001,Hartlepool,93770349.71,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0,2,1,2,3,1,5,3,3,2,6,6,3,9,11,6,9,4,4,6,4,8,9,10,4,26,12,11,11,12,23,13,14,14,9,18,20,11,8,8,7,9,6,15,17,6,9,15,10,16,9,18,8,5,3,13,4,5,2,5,1,1,0,7,5,1,5,2,1,5,2,8,2,4,1,2,2,2,1,3,2,3,2,1,1,1,0,0,1,0,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,2,0,1,0,3,2,2,2,1,3,2,1,0,1,2,1,1,0,1,3,0,0,1,2,0,1,2,2,0,3,1,0,0,2,1,2,1,1,0,1,1,1,2,2,3,3,4,5,7,12,9,11,3,4,11,9,7,11,5,8,3,3,6,10,7,13,12,24,13,19,12,21,12,18,32,30,27,29,33,36,29,36,39,26,42,39,37,39,26,77,63,49,32,45,31,25,60,64,55,51,37,27,36,46,52,43,49,48,44,35,69,59,61,49,65,54,74,99,78,79,97,87,53,51,71,74,51,44,37,18,10,E06000001,22581.98,21,35.037,9,0.3621,9,0.4973,13,32560.44,8,92028,40434,42102,42119,74228,66804,37767,73296,88600,44751,47277,91091,937,17629,11577,16869,25163,13742,1856,12584.77544,12775.5,89117,782,550,266,291,214,229,304,170,105,64349,1293,20507,5879,89469,145,400,469,1545,370,18753,32264,8924,427,599,1494,5428,5407,13392,9802,11306,3918,14,5920,1685,6963,13714,15768,5565,109,24394,9515,5971,554,380,21315,40381.53009,39816,30117,14607,5789,1699,9924,22758,26125,9276,13063,14268,16573,9593,1045,3806,27265,5651,10092,22635,3805,5194,1787,10621,3042,3265,4733,1630,969,2089,3891,12307,8787,4713,6878,13477,12773,6684,139,267,4410,666,539,3764,5657,1575,1938,645,789,588,1511,1603,2552,3641,5829
2,E06000002,Middlesbrough,53858124.26,,,,,,,,,,,,,,1,0,0,0,1,0,2,1,2,1,2,7,7,7,10,14,17,15,23,12,26,21,21,17,25,5,18,17,15,14,19,20,16,13,20,28,12,17,20,28,13,13,14,5,25,26,11,26,15,9,15,13,21,10,10,8,5,6,15,10,5,2,1,6,5,12,21,8,13,10,2,4,3,7,1,0,3,4,1,2,11,6,5,2,6,2,2,1,3,3,3,8,0,9,1,1,0,0,0,0,4,1,1,1,1,1,0,0,0,0,2,2,0,0,2,0,0,0,1,1,0,0,3,2,1,1,1,0,1,2,2,0,0,0,1,0,2,1,0,1,2,2,6,5,14,4,4,1,4,4,7,4,8,1,0,1,0,1,8,2,8,3,4,7,9,6,2,2,6,8,15,2,11,14,8,11,11,9,17,8,5,5,4,4,8,7,6,19,10,15,12,29,26,25,31,25,24,29,49,29,38,61,59,62,43,45,77,56,78,56,42,33,68,79,76,69,69,78,52,77,95,117,78,57,53,36,73,64,66,51,76,71,42,106,94,83,72,90,108,90,116,117,98,90,84,67,53,98,89,67,55,54,44,7,E06000002,23729.1,14,40.46,5,0.4884,1,0.571,6,32726.13,3,138412,57203,59956,60164,110409,100551,54547,108161,132671,67732,70680,136156,2256,27980,21455,25414,34596,18226,2465,17006.33648,16950,119680,2375,2362,1477,6811,244,904,1332,1731,1496,87511,11573,30797,8531,127042,439,954,1396,8581,2077,32968,43718,11777,880,1396,2469,7441,7512,17708,12320,16088,5960,684,10403,2961,8171,24004,19773,8188,28,33059,13654,9509,981,982,28878,52394.90462,62855,45295,19719,8001,2542,14160,33002,36818,14542,20472,21488,22963,12752,1306,6694,37450,9097,15063,31301,5171,7631,4416,13922,7453,5569,6841,3184,1709,3070,5702,16745,12505,6136,8746,19177,17758,12019,82,387,4430,490,380,4620,9124,3002,3705,1266,1358,702,2253,2628,3197,5362,9116
3,E06000003,Redcar and Cleveland,245140394.8,,,,,,,,,,1,0,0,0,0,0,0,1,0,1,0,1,3,2,2,3,6,10,11,7,7,8,11,7,17,13,8,9,12,0,9,9,16,8,14,4,8,6,7,11,12,10,19,18,12,18,7,5,14,16,17,15,24,9,11,11,28,10,14,7,8,10,7,6,11,6,1,7,4,11,13,4,13,6,2,7,4,11,6,6,2,1,5,13,5,4,2,1,1,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,2,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,1,1,0,2,3,1,2,4,2,7,9,2,1,6,7,7,5,5,4,8,7,6,4,7,2,2,2,2,2,4,11,7,9,7,9,14,12,16,12,9,17,13,24,25,16,37,36,29,47,33,43,49,49,38,27,37,45,41,71,93,56,24,51,95,82,74,63,39,42,52,47,47,50,50,84,43,63,78,83,104,78,89,82,94,120,100,110,101,78,67,90,94,67,88,64,49,21,2,E06000003,20348.4,48,29.792,31,0.2386,23,0.363,33,32545.62,9,135177,59605,61899,61965,111011,99177,56354,109763,130641,65655,69522,133929,1248,24191,15720,24120,37796,23139,3113,19502.04593,20072.5,132343,860,853,91,295,94,155,234,122,130,95111,1287,30054,8725,132158,324,743,370,1582,170,25849,51434,12678,623,823,2130,7901,8325,18735,16206,15771,5141,11,8882,2360,11112,27265,17358,6186,44,39961,11568,7434,642,463,30717,58475.3987,57285,45844,21449,8184,2415,16034,31550,39538,14572,21013,16935,25367,17303,1742,5022,42232,7358,15322,33372,5864,6533,2439,19206,4142,4361,5869,2069,1225,2692,6454,19578,13181,7147,12050,19902,17596,8682,285,1126,5815,693,444,4976,8830,2651,3027,963,1103,898,2635,2441,3624,5545,8787
4,E06000004,Stockton-on-Tees,204903680.8,,,,,,,,,1,2,1,0,0,1,0,1,3,0,1,2,0,0,3,2,2,6,9,10,4,16,8,13,13,16,11,12,9,20,9,18,6,11,10,9,15,11,10,7,13,12,17,15,19,14,15,9,10,10,31,15,14,27,17,19,15,18,15,14,11,9,11,13,16,9,11,13,11,6,17,14,8,9,6,14,10,8,10,5,6,6,3,4,6,12,4,9,7,2,0,7,3,7,4,19,1,0,7,3,1,10,2,6,1,3,3,2,2,1,4,3,2,3,2,1,1,0,0,1,3,1,1,1,0,1,0,2,0,1,0,0,0,1,2,0,2,2,1,0,3,0,1,2,0,0,4,2,5,1,2,0,0,0,2,0,1,4,1,0,1,0,1,0,1,1,2,1,2,2,4,9,2,6,4,9,11,3,8,5,5,4,11,11,16,11,7,2,3,7,10,10,16,15,17,30,21,18,29,24,27,33,27,32,63,50,47,69,86,57,100,66,110,109,105,63,90,86,87,104,146,119,72,84,173,134,178,141,126,106,81,130,129,130,80,118,80,93,160,110,116,124,100,92,110,154,137,172,103,149,90,94,136,110,119,79,60,49,9,E06000004,17541.72,76,25.79,56,0.2083,32,0.3024,46,32301.09,18,191610,79159,82237,82308,154503,140654,87122,150859,184166,94082,97528,187959,3651,36598,25253,37535,51300,26470,3481,24541.41242,25065.5,179501,1798,1997,1488,3072,132,866,1074,1133,549,130723,6307,42910,11670,182769,465,1187,831,6358,812,36116,71075,18307,1167,1436,3136,9964,9658,21986,21064,23098,6810,204,12807,3149,19943,33720,19365,9212,68,54480,13625,10387,667,740,36408,66572.93853,88811,64282,26385,9296,2836,19924,36728,55599,20952,35250,20524,32728,25907,2847,7025,66999,10251,22070,52927,8941,8075,4246,20767,7277,5911,6861,3579,1464,3345,11812,29949,20683,9799,13690,24971,21638,10721,221,617,8672,1085,651,7200,14458,4022,4379,2086,2713,1125,4854,3900,5958,8721,12928
5,E06000005,Darlington,197485808.7,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,3,3,2,3,1,9,2,4,6,6,11,2,21,11,20,14,4,9,15,5,7,12,9,8,10,8,14,12,11,18,12,10,6,25,20,14,35,8,9,2,16,4,6,6,2,8,6,6,18,3,4,6,3,5,7,9,7,6,5,1,7,4,1,8,3,3,2,0,3,2,2,3,2,2,1,6,2,3,1,0,5,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,1,4,6,0,1,2,0,1,2,5,1,6,4,7,4,1,3,2,5,3,5,5,1,9,14,9,12,16,22,10,19,13,35,22,23,29,22,22,9,32,25,36,38,28,20,20,40,41,76,50,38,34,25,50,67,66,48,32,46,20,39,48,37,20,44,37,52,49,53,50,58,51,46,20,72,57,66,52,55,35,49,66,59,52,45,22,24,6,E06000005,18284.63,73,25.657,59,0.1846,37,0.2891,52,32173.97,24,105564,46670,48644,48761,85357,76635,49014,83954,101547,51483,54081,104111,1453,19211,12678,20917,28245,15889,2550,14612.79038,14926,99226,2369,1146,726,145,523,349,462,357,261,71122,2311,25415,6716,100025,263,1092,1392,2792,626,19424,38867,10224,523,730,1942,6564,5680,15101,12490,12640,4044,11,6428,2091,8407,18283,15198,6838,35,30467,7228,8513,462,398,20723,39004.04499,47046,37199,15116,4763,1440,11048,21179,29363,10883,20244,13052,20682,12936,2019,4767,34124,8104,11555,30337,5595,4002,1954,12214,2742,3081,3737,1418,629,1613,6993,16990,12350,6424,6699,14235,11702,5380,303,117,4900,185,295,3743,8107,2525,2698,2165,1880,500,2225,2086,3808,4211,7259
6,E06000006,Halton,79096448.16,,,,,,,,,,,,2,1,1,0,1,2,0,0,1,0,0,0,5,3,2,7,9,2,12,9,7,14,18,12,15,23,12,14,15,12,11,4,8,10,14,14,10,16,10,10,14,9,14,14,6,3,8,8,19,21,5,10,9,3,4,5,8,7,7,2,11,6,14,8,3,18,10,10,15,11,12,1,2,2,3,7,4,5,17,0,3,4,4,1,1,2,1,0,0,1,4,0,1,0,0,1,5,0,1,1,0,0,4,2,0,0,0,2,0,0,3,4,0,0,1,2,0,0,0,1,2,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,3,2,1,1,0,5,1,2,2,1,1,0,5,0,2,1,2,2,0,1,0,2,2,0,0,0,1,0,2,1,2,0,4,2,3,7,11,6,7,4,20,6,17,22,8,14,23,25,23,47,49,30,36,41,31,55,54,62,47,46,44,60,68,66,69,48,73,60,82,109,86,66,69,51,42,94,48,75,64,47,58,56,86,60,75,47,57,41,46,65,67,45,60,37,38,36,68,55,44,48,38,23,48,76,50,41,33,39,40,41,60,51,28,38,24,16,0,E06000006,21746.16,31,32.325,19,0.3165,12,0.4678,20,32282.99,20,125746,53312,54686,54694,100819,92708,57577,99953,120704,61368,64378,124874,872,24013,16165,25004,34700,16502,1979,15986.97694,16245,121864,1177,1356,282,44,60,308,249,260,146,94314,1079,23543,6810,122361,586,558,646,1595,276,26260,44150,12055,700,781,2036,7301,6670,15833,12695,15484,5377,8,9292,1382,10703,18078,19911,5887,115,34118,13441,5212,541,523,26865,49355.23958,58684,39693,17504,7732,2133,15018,27126,39516,12618,17792,14380,22923,16009,1541,5337,43732,6967,13102,37219,5420,5151,2519,13332,3858,3900,6451,1756,799,1993,6443,17021,14072,6435,9924,18304,15769,6604,88,94,7218,469,918,4255,10757,3985,2670,2237,1359,672,2589,3065,3723,4413,6881
7,E06000007,Warrington,180613956.3,,,,,,,,,1,0,0,2,0,0,1,0,0,0,2,1,1,2,5,3,1,3,10,8,10,18,19,17,25,16,16,23,34,30,38,22,28,17,7,18,29,21,38,12,43,22,27,32,37,36,25,18,15,22,31,22,37,27,7,12,19,12,21,12,10,13,10,17,20,15,10,10,11,10,11,14,6,15,5,6,5,9,6,8,11,5,1,8,6,11,7,7,13,1,5,4,6,5,7,3,3,5,1,8,2,1,5,2,0,5,2,2,1,2,0,2,0,2,3,1,0,1,1,2,1,1,1,1,1,0,2,1,2,1,2,1,1,1,3,1,0,0,1,2,0,0,1,1,1,1,1,4,5,2,6,9,7,3,4,3,2,2,1,0,1,2,0,1,0,2,0,0,3,4,4,6,1,3,8,11,4,15,18,21,24,31,38,41,36,32,42,21,24,28,29,42,33,35,49,58,43,60,75,65,58,40,41,71,47,62,79,81,95,89,104,120,99,99,104,69,74,127,111,96,104,80,105,74,147,125,139,156,108,101,90,165,158,159,158,153,95,96,140,133,127,125,114,76,97,121,72,92,88,75,59,50,85,71,70,58,37,35,2,E06000007,14277.87,109,18.942,95,0.0787,69,0.1837,76,30359.39,70,202228,85140,87943,87962,163477,149461,100856,160091,194801,100300,101928,198828,3400,37112,24591,42327,54429,28492,3722,26365.50051,27034,189325,4667,2144,1803,1179,152,849,928,694,487,144405,4693,41293,11837,190719,1090,1353,3016,6050,1208,35935,79238,18888,1042,1306,2996,10694,9992,24534,23174,24788,6220,57,12587,2822,20826,36023,21162,9870,81,61552,13318,9549,721,727,34997,64753.22984,100734,66223,24446,8466,2359,21843,33815,57545,20593,44870,16409,35587,33144,4648,7734,77712,10762,21782,63875,11617,5961,4530,22189,5441,4917,6063,3086,663,2263,18542,35278,23946,11982,12510,23884,20393,7110,248,85,8815,918,1856,7262,17648,6163,4744,5124,3332,1215,6825,5235,5691,8663,12627
8,E06000008,Blackburn with Darwen,137055894.2,,,,,,,,,,,,,1,0,0,0,0,0,0,2,0,1,3,4,1,2,4,4,8,8,8,8,12,9,10,8,10,14,12,17,12,10,12,11,16,9,11,5,18,9,9,13,14,24,12,7,9,19,16,20,19,15,4,9,15,12,20,17,10,16,7,12,23,12,13,9,10,5,13,12,14,20,43,9,6,3,9,5,11,13,7,2,4,9,13,4,13,12,4,2,4,3,4,9,4,3,4,2,12,9,5,6,11,4,8,9,3,2,0,10,3,3,7,15,6,3,7,13,6,10,16,9,11,8,15,11,35,32,14,5,12,19,24,26,18,18,9,23,16,20,18,18,14,26,13,18,16,16,13,18,8,22,29,26,25,14,8,5,10,14,12,19,10,13,8,6,19,8,7,11,12,11,9,9,25,16,11,21,13,16,31,51,32,25,26,17,14,29,20,57,47,41,44,53,35,57,40,41,40,42,29,49,59,38,49,53,61,64,103,109,83,88,107,87,78,138,98,140,126,125,137,109,227,165,209,175,154,124,140,168,172,177,152,179,67,126,229,192,167,144,131,123,100,175,122,119,129,98,85,60,90,99,88,60,61,46,2,E06000008,23819.6,12,36.013,8,0.3626,8,0.5519,7,32396.85,13,147489,57353,59615,59694,113122,104417,60523,111628,140785,73547,73942,145827,1662,31818,20669,30862,34601,16716,2345,16311.46737,16125.5,98938,3071,1823,19791,17801,1525,721,1656,933,1230,77599,41207,20374,8309,125695,594,995,2001,18204,5680,29039,51165,11570,755,2060,2831,7516,6692,17419,12080,17777,5043,29,10048,2341,8242,16963,27179,7256,54,37083,10391,8993,886,1503,29841,50224.83215,66991,49010,20725,8428,2335,15756,32485,37860,12923,22416,17502,25110,14741,2269,5476,43938,8840,14535,35597,7997,5575,3329,13248,6065,7061,7378,3632,1091,2219,7496,17560,13594,9505,8938,18242,16880,11767,139,26,9741,194,417,3871,10759,2692,2961,1721,1179,755,2491,2754,3385,6195,8936
9,E06000009,Blackpool,34873257.94,,,,,,,,,,1,0,1,0,1,0,1,2,0,0,1,1,0,1,1,1,4,2,5,4,6,12,5,18,8,14,3,6,10,13,11,17,15,11,15,8,13,16,20,27,29,22,24,19,23,21,14,11,22,28,17,19,10,8,15,9,13,26,9,10,16,8,12,10,12,9,6,9,8,10,22,23,23,12,15,9,12,9,12,10,11,8,6,5,3,13,6,6,6,8,3,9,11,3,3,3,1,3,2,2,2,3,3,0,2,2,5,6,3,1,2,0,0,1,4,3,0,1,2,0,2,2,3,0,2,0,1,1,0,1,1,0,4,0,2,2,1,1,1,1,2,2,0,1,2,2,2,3,1,2,4,1,0,1,3,4,6,2,0,0,1,0,3,2,2,0,2,1,5,5,0,0,0,0,0,2,10,5,3,4,7,4,4,5,5,19,2,8,12,14,15,14,21,8,12,9,14,10,30,13,25,17,28,36,31,40,41,35,37,44,51,64,72,61,47,51,82,77,104,78,122,94,53,131,135,120,91,103,65,60,99,104,60,95,64,41,40,110,96,57,53,74,44,46,76,75,50,82,56,39,28,66,52,49,29,28,37,0,E06000009,26765.29,1,45.039,1,0.4149,6,0.5766,5,32838.16,1,142065,64367,68984,69343,116699,103813,61419,112758,137019,69775,72290,137960,4105,24918,17109,26854,38509,23501,3738,21345.94889,21744.5,134071,3268,1753,627,223,231,514,687,346,345,95426,2732,34815,9092,134362,926,1152,2187,3438,783,29900,42784,14353,1601,1102,2921,11160,8937,24446,14386,15216,5733,54,10265,4976,5924,25279,20771,17194,175,39889,6999,16770,709,603,36331,73007.46537,56600,48022,23977,10346,3120,16319,36559,43008,13546,18098,23635,27493,13239,3305,6440,39956,11718,14836,34230,9960,6337,3177,16807,3809,3943,8228,2486,801,2557,5451,18991,15376,14703,9873,20649,16955,7856,73,42,4895,242,315,4434,9967,2929,7438,1266,1706,634,1950,2796,5750,4089,9171
10,E06000010,"Kingston upon Hull, City of",71607247.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,3,2,0,3,3,2,5,8,10,8,4,15,12,9,13,17,14,10,15,28,31,10,15,24,18,25,13,29,17,38,28,28,33,36,68,55,50,20,35,29,30,13,28,18,8,21,21,25,16,19,20,12,22,26,22,20,39,20,26,32,21,17,15,19,14,13,11,7,11,7,11,6,4,1,7,6,16,6,13,15,7,11,25,5,6,3,5,4,2,4,2,3,1,1,1,1,3,2,0,2,1,0,1,0,2,0,1,1,0,2,1,1,1,3,6,2,2,2,0,1,4,0,1,1,2,1,1,2,0,1,0,1,2,0,0,0,0,5,1,5,2,4,1,0,2,1,2,0,0,3,1,1,1,3,2,0,0,2,1,3,6,7,2,1,6,14,4,3,0,2,2,2,4,1,4,7,7,6,4,12,9,8,15,18,7,17,19,25,59,42,54,24,15,40,33,52,31,46,42,23,51,58,65,45,52,51,54,112,110,123,143,109,99,93,168,158,181,182,181,178,195,354,308,273,294,299,212,171,403,366,295,280,250,195,155,284,237,199,157,145,79,0,E06000010,25222.75,9,40.564,4,0.4518,4,0.5505,8,32621.01,6,256406,112596,116495,116651,208040,190610,110903,204411,245742,128420,127986,252748,3658,48718,44314,52108,61561,31089,4642,32624.79233,32052,230470,10851,3454,1086,882,755,2124,1624,2996,2164,140753,7912,89336,18405,234585,415,2373,8216,10817,4465,62626,74762,29822,1899,2211,4968,15612,12511,39788,24584,29447,10292,1366,17411,4055,8215,31375,57334,19648,79,56290,31634,22984,1688,1837,50391,96714.66484,110555,89572,38102,14047,4130,23636,65851,70832,27284,31687,45748,47612,19236,2118,16439,69085,23261,28041,68035,9814,15296,6944,23025,13243,9482,11524,5206,2624,7003,8685,28522,21917,12130,18633,39092,39551,19645,426,231,16851,879,707,9306,20353,5900,6959,2007,1148,1019,3540,6394,6328,9240,14899
